"|","|__startDate","|__endDate","|__rate","stockName"
"last3","3/8/2016","5/13/2016","-0.1326164874551971",""
"1","1/15/2016","10/31/2016","1.056910569105691","1305 華夏"
"2","1/15/2016","10/27/2016","1.0284552845528454",""
"3","1/15/2016","10/26/2016","1.0284552845528454",""
"last1","11/11/2015","1/15/2016","-0.23124999999999996",""
"last2","11/6/2015","1/15/2016","-0.22884012539184945",""
"last3","11/11/2015","1/14/2016","-0.21562499999999996",""
"1","1/22/2016","3/22/2016","0.17872968980797627","1307 三芳"
"2","1/22/2016","3/18/2016","0.17577548005908405",""
"3","1/22/2016","3/23/2016","0.17429837518463806",""
"last1","11/23/2015","1/22/2016","-0.20446533490011742",""
"last2","11/23/2015","1/21/2016","-0.19858989424206808",""
"last3","11/23/2015","11/4/2016","-0.19741480611045825",""
"1","1/15/2016","3/2/2016","0.20987654320987667","1308 亞聚"
"2","1/14/2016","3/2/2016","0.20987654320987667",""
"3","1/15/2016","3/7/2016","0.20370370370370375",""
"last1","3/2/2016","5/16/2016","-0.13775510204081645",""
"last2","3/2/2016","6/24/2016","-0.13520408163265316",""
"last3","3/1/2016","5/16/2016","-0.13333333333333341",""
"1","12/14/2015","10/20/2016","0.2716763005780348","1309 台達化"
"2","12/15/2015","10/20/2016","0.2661870503597123",""
"3","1/15/2016","10/20/2016","0.26436781609195414",""
"last1","11/6/2015","12/14/2015","-0.2378854625550661",""
"last2","11/6/2015","12/15/2015","-0.23458149779735682",""
"last3","11/6/2015","1/15/2016","-0.23348017621145375",""
"1","12/1/2015","2/15/2016","0.4531835205992509","1310 台苯"
"2","11/16/2015","2/15/2016","0.4531835205992509",""
"3","12/2/2015","2/15/2016","0.4477611940298506",""
"last1","2/15/2016","5/13/2016","-0.24999999999999992",""
"last2","2/16/2016","5/13/2016","-0.2402088772845952",""
"last3","2/15/2016","5/12/2016","-0.2396907216494845",""
"1","12/14/2015","4/15/2016","0.38996138996139","1312 國喬"
"2","12/14/2015","4/8/2016","0.38996138996139",""
"3","12/14/2015","4/18/2016","0.3861003861003861",""
"last1","11/6/2015","12/14/2015","-0.18553459119496862",""
"last2","11/9/2015","12/14/2015","-0.18553459119496862",""
"last3","11/10/2015","12/14/2015","-0.18296529968454261",""
"1","1/15/2016","10/19/2016","0.4364303178484108","1313 聯成"
"2","1/15/2016","10/20/2016","0.42420537897310523",""
"3","1/14/2016","10/19/2016","0.4225181598062954",""
"last1","3/8/2016","5/13/2016","-0.15704154002026333",""
"last2","3/8/2016","5/12/2016","-0.14589665653495437",""
"last3","3/8/2016","5/11/2016","-0.1428571428571427",""
"1","12/14/2015","10/20/2016","0.37926136363636376","1314 中石化"
"2","12/15/2015","10/20/2016","0.3618513323983171",""
"3","6/28/2016","10/20/2016","0.3523676880222843",""
"last1","11/6/2015","12/14/2015","-0.17852975495915988",""
"last2","3/8/2016","6/28/2016","-0.17848970251716254",""
"last3","3/8/2016","6/27/2016","-0.17620137299771166",""
"1","1/13/2016","7/13/2016","0.14541387024608501","1315 達新"
"2","1/13/2016","7/12/2016","0.1431767337807606",""
"3","1/20/2016","7/13/2016","0.142857142857143",""
"last1","11/6/2015","1/13/2016","-0.07453416149068312",""
"last2","3/9/2016","5/9/2016","-0.07400000000000005",""
"last3","3/9/2016","5/13/2016","-0.07400000000000005",""
"1","1/13/2016","3/17/2016","0.27894736842105267","1316 上曜"
"2","12/9/2015","3/17/2016","0.2616822429906541",""
"3","1/14/2016","3/17/2016","0.26037344398340245",""
"last1","3/17/2016","4/18/2016","-0.1646090534979424",""
"last2","3/17/2016","4/13/2016","-0.1604938271604939",""
"last3","3/17/2016","4/14/2016","-0.1563786008230453",""
"1","12/14/2015","9/29/2016","1.1714285714285715","1319 東陽"
"2","11/9/2015","9/29/2016","1.1499292786421498",""
"3","11/10/2015","9/29/2016","1.1438645980253876",""
"last1","4/6/2016","5/9/2016","-0.13729128014842298",""
"last2","4/6/2016","5/6/2016","-0.13636363636363638",""
"last3","4/6/2016","6/6/2016","-0.13636363636363638",""
"1","1/21/2016","3/7/2016","0.14644351464435149","1321 大洋"
"2","1/21/2016","3/25/2016","0.14435146443514657",""
"3","1/14/2016","3/7/2016","0.1440501043841336",""
"last1","11/6/2015","1/21/2016","-0.17301038062283738",""
"last2","11/6/2015","1/14/2016","-0.17128027681660898",""
"last3","11/9/2015","1/21/2016","-0.16724738675958192",""
"1","1/22/2016","10/24/2016","0.5521739130434784","1323 永裕"
"2","1/15/2016","10/24/2016","0.5521739130434784",""
"3","1/14/2016","10/24/2016","0.5521739130434784",""
"last1","11/23/2015","1/11/2016","-0.15441176470588233",""
"last2","11/23/2015","1/12/2016","-0.15441176470588233",""
"last3","11/23/2015","1/14/2016","-0.15441176470588233",""
"1","5/13/2016","9/29/2016","0.23148148148148145","1324 地球"
"2","5/12/2016","9/29/2016","0.23148148148148145",""
"3","11/18/2015","9/29/2016","0.23148148148148145",""
"last1","11/23/2015","5/12/2016","-0.11111111111111108",""
"last2","11/23/2015","5/13/2016","-0.11111111111111108",""
"last3","11/23/2015","1/20/2016","-0.1069958847736626",""
"1","5/18/2016","7/12/2016","0.05989583333333345","1325 恒大"
"2","5/17/2016","7/12/2016","0.05989583333333345",""
"3","5/16/2016","7/12/2016","0.05989583333333345",""
"last1","3/9/2016","5/11/2016","-0.09219858156028365",""
"last2","3/9/2016","5/13/2016","-0.09219858156028365",""
"last3","3/9/2016","5/16/2016","-0.09219858156028365",""
"1","12/14/2015","10/26/2016","0.41255605381165905","1326 台化"
"2","12/14/2015","10/28/2016","0.41106128550074733",""
"3","12/14/2015","11/4/2016","0.4050822122571",""
"last1","11/6/2015","12/14/2015","-0.09594594594594587",""
"last2","4/19/2016","7/6/2016","-0.09534883720930236",""
"last3","4/19/2016","7/7/2016","-0.09534883720930236",""
"1","6/30/2016","10/17/2016","0.7529411764705882","1333 恩得利"
"2","6/1/2016","10/17/2016","0.7325581395348836",""
"3","7/1/2016","10/17/2016","0.7192307692307691",""
"last1","11/9/2015","6/30/2016","-0.6266471449487555",""
"last2","11/9/2015","6/1/2016","-0.6222547584187409",""
"last3","11/9/2015","5/6/2016","-0.6193265007320645",""
"1","1/22/2016","7/5/2016","0.5270270270270271","1336 台翰"
"2","1/21/2016","7/5/2016","0.5270270270270271",""
"3","1/26/2016","7/5/2016","0.5229110512129381",""
"last1","7/5/2016","11/4/2016","-0.3008849557522124",""
"last2","7/5/2016","10/24/2016","-0.2938053097345133",""
"last3","7/5/2016","11/1/2016","-0.2911504424778762",""
"1","1/15/2016","3/7/2016","0.36065573770491804","1337 再生-KY"
"2","1/15/2016","3/8/2016","0.3573770491803278",""
"3","1/20/2016","3/7/2016","0.3474025974025974",""
"last1","11/10/2015","1/15/2016","-0.3267108167770419",""
"last2","11/6/2015","1/15/2016","-0.3237250554323725",""
"last3","11/10/2015","1/14/2016","-0.3200883002207505",""
"1","12/29/2015","3/1/2016","0.18181818181818182","1338 廣華-KY"
"2","12/29/2015","2/23/2016","0.18181818181818182",""
"3","12/29/2015","2/25/2016","0.1774891774891775",""
"last1","11/23/2015","11/3/2016","-0.2676056338028169",""
"last2","11/23/2015","11/4/2016","-0.2676056338028169",""
"last3","11/20/2015","11/3/2016","-0.2571428571428571",""
"1","12/14/2015","12/25/2015","0.1783088235294117","1339 昭輝"
"2","1/15/2016","3/9/2016","0.17318435754189937",""
"3","12/15/2015","12/25/2015","0.16545454545454535",""
"last1","11/6/2015","11/4/2016","-0.44942196531791906",""
"last2","11/9/2015","11/4/2016","-0.4421669106881405",""
"last3","11/6/2015","11/3/2016","-0.4414739884393064",""
"1","1/15/2016","5/3/2016","0.36379310344827576","1340 勝悅-KY"
"2","1/14/2016","5/3/2016","0.36144578313253",""
"3","1/20/2016","5/3/2016","0.35213675213675205",""
"last1","5/3/2016","11/3/2016","-0.2958280657395701",""
"last2","5/3/2016","11/4/2016","-0.2958280657395701",""
"last3","5/3/2016","11/2/2016","-0.29203539823008845",""
"1","1/27/2016","3/7/2016","0.2156862745098039","1402 遠東新"
"2","1/26/2016","3/7/2016","0.2156862745098039",""
"3","1/28/2016","3/7/2016","0.2025862068965517",""
"last1","11/6/2015","5/19/2016","-0.25589225589225584",""
"last2","11/6/2015","5/18/2016","-0.2542087542087542",""
"last3","11/6/2015","5/17/2016","-0.25252525252525254",""
"1","12/18/2015","12/31/2015","0.1682926829268294","1409 新纖"
"2","12/18/2015","3/7/2016","0.1646341463414636",""
"3","12/18/2015","3/8/2016","0.16097560975609762",""
"last1","12/31/2015","6/27/2016","-0.15448851774530276",""
"last2","12/31/2015","6/28/2016","-0.15344467640918588",""
"last3","12/31/2015","6/24/2016","-0.15240083507306898",""
"1","11/18/2015","7/13/2016","0.07826086956521743","1410 南染"
"2","11/18/2015","4/14/2016","0.07826086956521743",""
"3","11/18/2015","9/22/2016","0.07608695652173914",""
"last1","4/14/2016","8/3/2016","-0.05645161290322589",""
"last2","7/13/2016","8/3/2016","-0.05645161290322589",""
"last3","4/14/2016","7/25/2016","-0.0544354838709678",""
"1","5/10/2016","7/1/2016","0.09193548387096764","1413 宏洲"
"2","5/13/2016","7/1/2016","0.08842443729903535",""
"3","5/11/2016","7/1/2016","0.08667736757624384",""
"last1","11/9/2015","10/17/2016","-0.3479262672811059",""
"last2","11/6/2015","10/17/2016","-0.3464203233256351",""
"last3","11/10/2015","10/17/2016","-0.34566473988439306",""
"1","5/13/2016","7/21/2016","0.17615658362989328","1414 東和"
"2","5/13/2016","7/13/2016","0.17081850533807827",""
"3","5/16/2016","7/21/2016","0.1678445229681979",""
"last1","11/6/2015","5/13/2016","-0.19484240687679086",""
"last2","11/9/2015","5/13/2016","-0.19136690647482016",""
"last3","11/6/2015","5/16/2016","-0.1891117478510029",""
"1","1/18/2016","10/14/2016","0.5545722713864308","1416 廣豐"
"2","2/1/2016","10/14/2016","0.5454545454545455",""
"3","1/22/2016","10/14/2016","0.5454545454545455",""
"last1","11/26/2015","1/18/2016","-0.10554089709762533",""
"last2","11/26/2015","1/19/2016","-0.10026385224274399",""
"last3","11/26/2015","1/20/2016","-0.10026385224274399",""
"1","6/24/2016","9/29/2016","0.272108843537415","1417 嘉裕"
"2","6/24/2016","10/20/2016","0.2698412698412697",""
"3","6/27/2016","9/29/2016","0.2635135135135135",""
"last1","11/6/2015","6/24/2016","-0.25380710659898476",""
"last2","11/6/2015","6/16/2016","-0.24873096446700502",""
"last3","11/6/2015","6/27/2016","-0.24873096446700502",""
"1","5/23/2016","11/4/2016","0.30541871921182273","1418 東華"
"2","5/23/2016","11/3/2016","0.30541871921182273",""
"3","5/23/2016","11/2/2016","0.30541871921182273",""
"last1","2/3/2016","5/23/2016","-0.30000000000000004",""
"last2","2/3/2016","4/29/2016","-0.28793103448275864",""
"last3","2/3/2016","5/3/2016","-0.28793103448275864",""
"1","11/30/2015","7/18/2016","0.4140127388535032","1419 新紡"
"2","11/30/2015","7/20/2016","0.41082802547770697",""
"3","11/30/2015","7/21/2016","0.409235668789809",""
"last1","11/10/2015","11/30/2015","-0.18863049095607246",""
"last2","11/11/2015","11/30/2015","-0.18441558441558445",""
"last3","11/13/2015","11/30/2015","-0.18441558441558445",""
"1","6/29/2016","9/22/2016","0.09516129032258062","1423 利華"
"2","6/28/2016","9/22/2016","0.09516129032258062",""
"3","6/27/2016","9/22/2016","0.09516129032258062",""
"last1","11/6/2015","6/27/2016","-0.13769123783031992",""
"last2","11/6/2015","6/28/2016","-0.13769123783031992",""
"last3","11/6/2015","6/29/2016","-0.13769123783031992",""
"1","12/14/2015","4/8/2016","0.2708333333333333","1432 大魯閣"
"2","12/10/2015","4/8/2016","0.2708333333333333",""
"3","11/16/2015","4/8/2016","0.2708333333333333",""
"last1","4/8/2016","10/27/2016","-0.32581967213114754",""
"last2","4/8/2016","10/26/2016","-0.3217213114754098",""
"last3","4/8/2016","10/28/2016","-0.3217213114754098",""
"1","1/21/2016","3/22/2016","0.20740740740740746","1434 福懋"
"2","1/21/2016","3/21/2016","0.20740740740740746",""
"3","1/21/2016","3/18/2016","0.19999999999999996",""
"last1","11/9/2015","1/21/2016","-0.19402985074626866",""
"last2","11/9/2015","1/22/2016","-0.18358208955223876",""
"last3","11/9/2015","1/26/2016","-0.18208955223880602",""
"1","12/15/2015","12/31/2015","0.1325842696629213","1435 中福"
"2","12/15/2015","1/4/2016","0.1303370786516854",""
"3","12/2/2015","12/31/2015","0.13004484304932737",""
"last1","12/31/2015","6/24/2016","-0.1865079365079366",""
"last2","1/4/2016","6/24/2016","-0.1848906560636184",""
"last3","12/31/2015","6/23/2016","-0.18253968253968253",""
"1","8/22/2016","9/19/2016","0.12702702702702712","1436 華友聯"
"2","8/23/2016","9/19/2016","0.11497326203208567",""
"3","8/22/2016","9/30/2016","0.11486486486486487",""
"last1","11/6/2015","8/22/2016","-0.12114014251781476",""
"last2","11/12/2015","8/22/2016","-0.11694510739856799",""
"last3","8/8/2016","8/22/2016","-0.11694510739856799",""
"1","1/12/2016","8/12/2016","0.47111111111111115","1437 勤益控"
"2","1/22/2016","8/12/2016","0.46460176991150437",""
"3","1/21/2016","8/12/2016","0.46460176991150437",""
"last1","8/12/2016","11/3/2016","-0.10271903323262846",""
"last2","8/12/2016","11/4/2016","-0.10271903323262846",""
"last3","11/9/2015","1/12/2016","-0.1",""
"1","8/22/2016","9/20/2016","0.15482233502538068","1438 裕豐"
"2","8/22/2016","9/19/2016","0.15482233502538068",""
"3","8/22/2016","9/21/2016","0.15228426395939088",""
"last1","11/9/2015","8/22/2016","-0.2072434607645875",""
"last2","11/16/2015","8/22/2016","-0.2072434607645875",""
"last3","11/17/2015","8/22/2016","-0.2072434607645875",""
"1","11/25/2015","10/4/2016","0.8230452674897117","1439 中和"
"2","11/24/2015","10/4/2016","0.800813008130081",""
"3","11/18/2015","10/4/2016","0.800813008130081",""
"last1","10/4/2016","11/3/2016","-0.2686230248306998",""
"last2","10/4/2016","11/4/2016","-0.2686230248306998",""
"last3","10/4/2016","11/2/2016","-0.2641083521444694",""
"1","7/6/2016","8/2/2016","0.1885245901639345","1440 南紡"
